,Number,Name,Team,Position,PPG,RPG,APG,SPG,BPG,TOPG,FPG,FDPG,+/-,EFFPG,FG%,3PT%,FT%,MPG
28,7,"Magdangal, Kylle",UST,G,1.5,1.0,0.5,0.5,0.0,0.8,0.8,0.0,-1.0,0.8,27.30%,0.00%,0.00%,5.59
29,18,"Escubido, Vince",UST,,1.0,0.9,0.5,0.3,0.0,0.5,0.3,0.3,-4.5,1.8,44.40%,0.00%,0.00%,5.58
30,5,"Herrera, Ian",UST,C,0.4,0.4,0.0,0.1,0.0,0.1,0.7,0.4,-2.1,0.2,0.00%,0.00%,83.30%,3.42
31,24,"Gesalam, Ralf",UST,G,0.0,0.6,0.1,0.0,0.1,0.1,0.3,0.3,-1.7,-0.1,0.00%,0.00%,0.00%,4.53
32,7,"Winston, Schonny",DLSU,G,14.9,4.3,2.5,2.1,0.1,2.4,1.3,2.9,4.6,16.4,42.90%,32.30%,79.50%,22.4
33,10,"Nelle, Evan",DLSU,G,12.0,4.8,6.0,1.7,0.6,2.8,1.9,2.6,2.5,17.6,34.10%,27.80%,96.30%,28.06
34,17,"Quiambao, Kevin",DLSU,F,11.2,6.5,3.2,1.1,0.4,3.1,1.0,2.0,-3.2,12.4,34.40%,19.10%,71.40%,25.26
35,25,"Phillips, Michael",DLSU,C,9.4,10.3,1.7,1.9,1.6,1.9,2.0,4.1,3.5,21.3,47.40%,0.00%,55.00%,25.17
36,16,"Austria, Cyrus",DLSU,F,8.5,3.9,2.2,1.2,0.1,1.6,1.5,2.6,0.9,11.3,42.90%,28.00%,54.90%,23.25
37,24,"Nonoy, Mark",DLSU,G,7.6,2.5,2.7,2.3,0.0,1.6,1.8,1.4,1.2,7.4,25.20%,25.30%,77.80%,19.43
38,9,"Cortez, Raven",DLSU,C,5.2,3.0,0.3,0.5,1.3,0.4,0.4,1.3,-0.7,9.4,56.50%,0.00%,90.90%,10.58
39,11,"Estacio, Penny",DLSU,G,4.8,1.6,1.7,0.7,0.0,1.3,0.9,1.1,-2.1,5.8,39.70%,37.10%,75.00%,16.36
40,42,"Phillips, Benjamin",DLSU,C,4.6,3.6,1.0,0.4,0.3,0.6,1.6,0.9,4.1,7.4,41.00%,34.50%,55.60%,14.17
41,22,"Nwankwo, Bright",DLSU,C,3.9,5.4,0.5,0.5,0.8,0.5,2.3,1.6,-0.1,9.9,45.70%,0.00%,64.00%,15.19
42,12,"Abadam, Earl",DLSU,F,3.9,2.2,0.8,0.4,0.1,0.8,1.5,0.9,-2.2,4.1,33.30%,10.00%,68.40%,14.23
43,3,"Blanco, Isaiah",DLSU,G,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,2.0,50.00%,100.00%,0.00%,1.49
44,6,"Manuel, Joaquin",DLSU,F,2.5,2.5,1.1,0.5,0.0,1.2,1.2,0.9,-1.5,3.2,22.90%,13.60%,70.00%,12.49
45,20,"Buensalida, Aaron",DLSU,F,2.3,2.8,0.5,0.0,0.5,0.8,0.8,1.0,-1.0,4.3,33.30%,0.00%,100.00%,7.54
46,1,"Macalalag, Jan",DLSU,G,2.2,2.3,0.5,0.3,0.3,0.5,0.8,0.9,0.1,4.4,38.10%,0.00%,66.70%,11.04
47,18,"Escandor, Francis",DLSU,F,0.0,0.7,0.3,0.0,0.0,0.3,0.3,0.0,-1.7,-0.7,0.00%,0.00%,0.00%,4.21
48,13,"Gonzales, LJ",FEU,G,11.5,5.0,4.3,1.8,0.2,1.4,2.6,2.7,-1.9,15.7,36.60%,30.00%,59.40%,23.41
49,9,"Sajonia, Bryan",FEU,G,11.2,4.2,1.7,1.6,0.3,1.3,3.1,2.8,-1.3,12.1,34.00%,20.60%,80.00%,23.28
50,20,"Torres, Xyrus",FEU,F,10.6,2.6,0.6,1.2,0.1,0.6,1.5,1.0,-2.7,5.5,27.30%,26.50%,68.80%,26.38
51,10,"Sleat, Patrick",FEU,G,8.8,3.8,1.8,0.9,0.1,1.7,2.4,1.9,-1.4,11.4,48.50%,28.60%,71.40%,20.11
52,8,"Anonuevo, Cholo",FEU,F,6.2,6.3,2.1,1.6,0.9,2.2,2.4,3.0,0.1,11.8,32.60%,16.10%,48.80%,25.41
53,3,"Bautista, Kyle",FEU,G,5.3,1.8,1.4,0.5,0.1,0.8,0.5,0.8,0.8,5.4,36.90%,27.80%,71.40%,12.28
54,21,"Tchuente, Patrick",FEU,C,5.1,7.3,0.3,0.8,1.1,0.7,2.1,2.4,-6.9,12.0,40.00%,0.00%,50.00%,19.19
55,2,"Sandagon, Ace",FEU,F,3.4,3.1,0.6,0.2,0.5,1.2,1.7,1.1,1.6,6.3,62.50%,0.00%,66.70%,12.5
56,18,"Alforque, Royce",FEU,G,2.6,4.1,2.9,1.6,0.2,1.5,1.6,0.6,-0.2,7.0,25.40%,11.10%,50.00%,19.58
57,4,"Tempra, James",FEU,F,1.5,2.0,0.5,0.2,0.2,0.8,0.8,0.9,-2.4,3.4,29.40%,0.00%,76.90%,10.36
58,15,"Bagunu, Aeron",FEU,,1.5,1.0,0.3,0.2,0.1,0.7,0.8,0.2,-0.3,0.8,25.00%,19.00%,0.00%,5.06
59,16,"Songcuya, Menard",FEU,,1.3,1.3,0.0,0.0,0.0,0.0,0.7,1.0,1.7,2.7,50.00%,0.00%,50.00%,4.08
60,27,"Ona, Miguel",FEU,,1.2,1.4,0.0,0.6,0.0,0.0,0.8,0.6,1.2,2.6,50.00%,0.00%,33.30%,5.48
61,12,"Gravera, Rodel",FEU,F,1.2,1.4,0.0,0.2,0.0,0.6,0.0,0.0,-3.6,0.8,22.20%,25.00%,0.00%,5.18
62,25,"Celzo, Daniel",FEU,F,1.1,1.5,0.3,0.1,0.3,0.2,1.2,0.6,-1.1,2.6,40.00%,0.00%,44.40%,4.44
63,23,"Guibao, Kevin",FEU,F,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,-0.8,0.0,0.00%,0.00%,0.00%,1.28
64,10,"Clemente, Jhon",NU,F,10.1,4.2,1.3,1.3,0.3,1.0,0.6,1.6,2.7,10.5,33.30%,24.70%,76.70%,25.13
65,20,"Figueroa, John",NU,F,9.3,7.4,1.9,1.3,0.6,2.3,2.3,3.7,1.5,16.9,43.40%,13.00%,80.90%,24.46
66,2,"Baclaan, Kean",NU,G,8.4,3.4,4.2,1.6,0.0,3.4,2.1,1.9,-0.8,8.7,30.30%,25.00%,84.60%,22.15
67,18,"John, Omar",NU,,7.8,7.2,1.3,0.7,1.6,3.0,2.9,2.1,2.1,12.8,48.20%,0.00%,35.00%,26.15
68,23,"Malonzo, Michael",NU,,7.0,6.2,1.5,1.1,0.7,1.2,2.4,1.9,-1.3,14.5,56.00%,11.10%,74.10%,24.57
69,13,"Enriquez, Steve",NU,G,6.9,1.8,2.7,1.3,0.0,1.5,0.9,2.7,4.0,7.4,29.90%,25.60%,55.60%,18.1
70,0,"Manansala, Jolo",NU,F,5.4,5.1,0.6,0.5,0.3,0.8,0.9,1.5,-0.7,10.3,55.00%,30.00%,60.00%,15.08
71,12,"Yu, Patrick",NU,G,4.6,2.9,1.8,0.6,0.2,1.6,1.4,1.1,1.4,5.4,30.50%,23.30%,66.70%,16.22
72,5,"Palacielo, Justin",NU,,2.6,1.3,0.4,0.2,0.0,0.6,0.8,0.5,-0.7,3.4,57.10%,0.00%,50.00%,4.47
73,11,"Galinato, John",NU,,2.1,0.9,0.4,0.1,0.0,0.6,1.3,0.5,-1.1,1.0,25.50%,21.70%,75.00%,7.53
74,24,"Minerva, Robert",NU,F,2.0,2.2,0.4,0.5,0.1,0.3,1.6,0.6,0.7,4.1,35.50%,16.70%,66.70%,9.01
