Number,Name,Team,Position,PPG,RPG,APG,SPG,BPG,TOPG,FPG,FDPG,+/-,EFFPG,FG%,3PT%,FT%,MPG_x,NAME,GP,MIN,MPG_y,STARTS,3PT FGs M/A, 3PT FGs %,2PT FGs M/A,2PT FGs %,FGs %,DEFENDED M/A,DEFENDED %,OPEN M/A,OPEN %,FTs M/A,FTs %,HI,LO,DEF REBOUNDS,OFF REBOUNDS,AST,STL,BLK,OFF TOs,DEF TOs,TECH,UF,TOTAL
5,"Palacielo, Justin",NU,,2.6,1.3,0.4,0.2,0.0,0.6,0.8,0.5,-0.7,3.4,57.10%,0.00%,50.00%,4.47,Justin Palacielo,13,3733,4:47:09,0,0/1,0.0,16/28,57.14,55.17,14/27,51.85,2/2,100.0,2/4,50.0,10,0,6,10,5,3,0,1,9,0,0,10
11,"Galinato, John",NU,,2.1,0.9,0.4,0.1,0.0,0.6,1.3,0.5,-1.1,1.0,25.50%,21.70%,75.00%,7.53,John Galinato,14,6633,7:53:47,0,5/22,22.73,6/24,25.0,23.91,6/40,15.0,5/6,83.33,3/6,50.0,9,0,12,2,7,3,0,0,18,0,0,18
24,"Minerva, Robert",NU,F,2.0,2.2,0.4,0.5,0.1,0.3,1.6,0.6,0.7,4.1,35.50%,16.70%,66.70%,9.01,Robert Minerva,14,7587,9:01:56,5,2/12,16.67,8/17,47.06,34.48,6/22,27.27,4/7,57.14,6/9,66.67,6,0,17,13,7,8,2,0,21,0,0,21
26,"Mahinay, Germy",NU,C,1.0,2.2,0.2,0.1,0.1,0.5,1.7,0.5,-0.6,2.3,24.00%,0.00%,75.00%,5.53,Germy Mahinay,14,4954,5:53:51,0,0/2,0.0,5/19,26.32,23.81,5/21,23.81,0/0,0.0,3/4,75.0,2,0,16,13,3,2,1,4,18,0,1,23
27,"Tibayan, Jonas",NU,F,0.8,0.4,0.2,0.2,0.0,0.3,0.7,0.2,-1.8,1.0,55.60%,0.00%,0.00%,3.05,Jonas Tibayan,12,2224,3:05:20,1,0/0,0.0,5/9,55.56,55.56,4/8,50.0,1/1,100.0,0/2,0.0,4,0,0,5,3,3,0,1,7,0,1,9
4,"Tulabut, Nat",NU,,0.3,0.2,0.0,0.2,0.0,0.7,0.0,0.0,-1.2,-0.2,50.00%,0.00%,0.00%,1.05,Nat Tulabut,6,394,1:05:40,0,0/0,0.0,1/2,50.0,50.0,1/2,50.0,0/0,0.0,0/0,0.0,2,0,0,1,0,1,0,1,0,0,0,1
24,"Villegas, Luis",UE,,13.1,8.1,3.8,1.9,0.8,2.0,2.4,3.6,1.1,23.6,44.90%,35.10%,85.40%,29.54,Luis Villegas,14,25122,29:54:26,10,27/77,35.06,34/59,57.63,44.85,53/124,42.74,8/12,66.67,35/41,85.37,20,8,82,31,53,27,11,1,32,0,1,34
3,"Paranada, Kyle",UE,G,11.6,2.9,4.2,1.6,0.1,2.1,2.6,3.6,0.9,14.2,35.90%,26.70%,69.40%,23.04,Kyle Paranada,14,19376,23:04:00,0,20/75,26.67,32/70,45.71,35.86,45/136,33.09,7/9,77.78,39/49,79.59,25,4,34,6,59,23,1,0,35,0,1,36
2,"Paranada, Nick",UE,G,9.9,3.0,3.1,0.7,0.0,1.1,1.0,1.8,0.1,10.3,33.30%,34.20%,74.10%,21.02,Nick Paranada,14,17668,21:02:00,11,26/76,34.21,20/62,32.26,33.33,42/132,31.82,4/6,66.67,20/27,74.07,21,2,33,9,43,10,0,0,14,0,0,14
55,"Stevens, Jalen",UE,C,9.4,6.3,1.0,0.9,0.4,0.9,2.6,2.6,-0.9,15.1,61.20%,0.00%,30.60%,28.24,Jalen Stevens,14,23865,28:24:39,9,0/0,0.0,60/98,61.22,61.22,52/89,58.43,8/9,88.89,11/36,30.56,23,3,52,36,14,13,5,2,35,0,0,37
74,"Payawal, Calvin",UE,G,8.3,4.2,1.1,0.9,0.1,1.1,2.1,1.4,-0.6,9.7,35.60%,36.30%,68.40%,20.52,Calvin Payawal,14,17537,20:52:39,10,29/80,36.25,8/24,33.33,35.58,35/97,36.08,2/7,28.57,13/19,68.42,21,2,46,13,16,12,1,0,29,0,0,29
9,"Pagsanjan, Harvey",UE,G,5.1,4.1,0.8,0.9,0.2,1.2,2.2,2.0,1.0,6.5,28.20%,23.50%,50.00%,25.52,Harvey Pagsanjan,13,20176,25:52:00,13,8/34,23.53,16/51,31.37,28.24,20/80,25.0,4/5,80.0,10/20,50.0,17,0,38,15,11,12,2,0,28,0,1,29
6,"Sawat, Abdul",UE,F,4.4,2.9,0.9,0.4,0.1,1.0,2.0,1.2,-2.0,6.0,33.90%,33.30%,81.80%,16.05,Abdul Sawat,14,13517,16:05:30,7,5/15,33.33,14/41,34.15,33.93,18/54,33.33,1/2,50.0,18/22,81.82,7,2,25,16,12,6,2,2,26,0,0,28
16,"Remogat, Rey",UE,,4.2,1.2,1.1,0.3,0.0,1.1,0.9,0.9,-2.9,3.9,35.60%,26.50%,100.00%,9.46,Rey Remogat,14,8208,9:46:17,3,9/34,26.47,12/25,48.0,35.59,18/55,32.73,3/4,75.0,8/8,100.0,24,0,12,5,16,4,0,0,12,0,0,12
5,"Tulabut, Jm",UE,,2.8,2.2,0.1,0.0,0.0,0.2,1.0,0.7,0.1,3.9,47.80%,16.70%,40.00%,8.04,Jm Tulabut,9,4363,8:04:47,3,1/6,16.67,10/17,58.82,47.83,9/21,42.86,2/2,100.0,2/5,40.0,9,0,15,5,1,0,0,0,9,0,0,9
18,"Antiporda, Frederic",UE,G,2.5,0.6,0.3,0.5,0.0,0.5,0.3,0.3,-1.6,1.3,28.20%,26.70%,0.00%,8.34,Frederic Antiporda,12,6177,8:34:45,3,8/30,26.67,3/9,33.33,28.21,9/35,25.71,2/4,50.0,0/0,0.0,13,0,6,1,4,6,0,0,4,0,0,4
8,"Alcantara, Josiah",UE,G,1.2,0.9,1.1,0.1,0.2,1.1,1.0,0.6,-2.5,1.7,20.00%,0.00%,85.70%,8.11,Josiah Alcantara,10,4913,8:11:18,0,0/4,0.0,3/11,27.27,20.0,2/14,14.29,1/1,100.0,6/7,85.71,5,0,7,2,11,1,2,0,10,0,0,10
26,"Guevarra, Justine",UE,,0.7,0.6,0.4,0.1,0.0,0.0,0.4,0.0,-0.3,1.3,33.30%,33.30%,0.00%,4.03,Justine Guevarra,7,1702,4:03:09,0,1/3,33.33,1/3,33.33,33.33,1/5,20.0,1/1,100.0,0/0,0.0,3,0,2,2,3,1,0,0,3,0,0,3
